name,id,nametype,recclass,mass,fall,year,reclat,reclong
Asuka 881006,3715,Valid,H4,461.09,Found,1988,-72,26
Sayh al Uhaymir 255,23428,Valid,L6,461.13,Found,2003,20.59958,57.37525
Elephant Moraine 83206,7848,Valid,L6,461.9,Found,1983,-76.28361,157.185
Roosevelt County 001,22656,Valid,H3.8,462,Found,1968,33.78333,-103.56667
Dar al Gani 902,6449,Valid,L3,462,Found,1999,27.9265,16.90417
Sarir Qattusah 004,23183,Valid,L6,462,Found,1999,27.13883,15.5475
Grove Mountains 051612,46445,Valid,H5,462.6,Found,2006,-72.82944,75.27861
Grove Mountains 021510,46748,Valid,H4,462.7,Found,2003,-72.93667,75.30139
Zaisan,30388,Valid,H5,463,Fell,1963,47.5,83
Queen Alexandra Range 99097,21549,Valid,LL6,463,Found,1999,-84,168
Dhofar 1707,56332,Valid,L6,463,Found,2010,18.87403,54.4807
Patuxent Range 91503,18122,Valid,L6,463.9,Found,1991,-84.96584,-67.50881
Allan Hills A78106,1721,Valid,L6,464.5,Found,1978,-76.71667,159.66667
Dhofar 599,7356,Valid,L6,465,Found,2001,18.69087,54.7048
Ruhobobo,22780,Valid,L6,465.5,Fell,1976,-1.45,29.83333
Asuka 881428,4137,Valid,L6,465.85,Found,1988,-72,26
Yamato 790746,26095,Valid,H5-6,465.9,Found,1979,-71.5,35.66667
Hammadah al Hamra 295,11778,Valid,H5,466,Found,2000,29.01667,12.36667
Dhofar 565,7326,Valid,H5,466,Found,2001,18.81857,54.37443
Ramlat as Sahmah 008,31304,Valid,L6,466,Found,2004,20.72798,56.11592
Jiddat al Harasis 626,52055,Valid,Eucrite-pmict,466,Found,2010,19.78483,55.95917
Lewis Cliff 88014,13768,Valid,H5,466.5,Found,1988,-84.27744,161.64044
Dar al Gani 498,6046,Valid,LL5-6,467,Found,1997,27.45433,16.2315
Asuka 87330,2687,Valid,H4,467.39,Found,1987,-72,26
Dar al Gani 967,6507,Valid,L5,468,Found,1998,26.88917,16.55067
Dhofar 336,7119,Valid,L6,468,Found,2001,18.755,54.58
Sayh al Uhaymir 322,34549,Valid,H5,468,Found,2005,21.06,57.29667
Yamato 790522,25871,Valid,LL4,468.5,Found,1979,-71.5,35.66667
Yamato 790783,26132,Valid,LL6,468.9,Found,1979,-71.5,35.66667
Coleman,5401,Valid,L6,469,Fell,1994,43.76111,-84.50778
Dhofar 605,7362,Valid,H5/6,469,Found,2001,18.71768,54.19992
Yamato 790499,25848,Valid,L6,469.2,Found,1979,-71.5,35.66667
Viksdalen,24176,Valid,Eucrite,470,Found,1992,61.03333,6.05
Dhofar 1088,33792,Valid,L~6,470,Found,2004,18.15363,54.10562
Jiddat al Harasis 345,45869,Valid,H6,470,Found,2006,19.77402,56.60532
Asuka 881526,4235,Valid,Diogenite,470.06,Found,1988,-72,26
Ramlat as Sahmah 219,35652,Valid,L4,470.16,Found,2003,20.47567,55.79787
Elephant Moraine 83205,7847,Valid,L6,470.8,Found,1983,-76.32833,157.22917
Elephant Moraine 87564,8114,Valid,L4,471,Found,1987,-76.18333,157.16667
Cook 011,5430,Valid,L3-5,471,Found,1991,-30.23433,130.60067
Dhofar 757,7503,Valid,H5,471,Found,2000,18.85383,54.647
Allan Hills A80102,1930,Valid,Eucrite-pmict,471.2,Found,1980,-76.69028,159.2525
Muckera 017,16837,Valid,L5,472,Found,1991,-30.21083,129.96833
Tanezrouft 045,23846,Valid,H4,472,Found,1992,25.53722,0.13722
Sayh al Uhaymir 119,23311,Valid,H4,472,Found,2002,21.00333,57.315
Ramlat as Sahmah 312,51984,Valid,H6,472.7,Found,2009,20.7982,55.47148
Timessa 001,24001,Valid,H6,473,Found,1990,26.56667,15.73333
Thiel Mountains 99011,23963,Valid,L5,473,Found,2000,-85.15852,-94.62125
Dhofar 582,7342,Valid,H5-6,473,Found,2001,18.72347,54.19185
Yamato 791677,27026,Valid,L4,473.05,Found,1979,-71.5,35.66667
Yamato 793514,28863,Valid,H5,473.6,Found,1979,-71.5,35.66667
LaPaz Icefield 02218,12485,Valid,H4,473.7,Found,2002,-86.36667,-70
Ramlat as Sahmah 401,55657,Valid,L3.8,473.8,Found,2010,20.18758,55.66763
Ilafegh 005,12010,Valid,H5,474,Found,1989,21.55,1.68333
Grove Mountains 052904,46488,Valid,L6,474,Found,2006,-72.77833,75.31972
Elephant Moraine 87555,8105,Valid,L6,474.1,Found,1987,-76.18333,157.16667
Meteorite Hills 00477,15712,Valid,LL6,474.2,Found,2000,-79.68333,155.75
Dhofar 264,7047,Valid,L6,474.4,Found,2001,18.347,54.4155
Asuka 881775,4484,Valid,H4,474.75,Found,1988,-72,26
Daraj 132,6588,Valid,H6,475,Found,1986,29.36306,11.99667
Acfer 209,217,Valid,CR2,475,Found,1991,27.50472,3.88194
Dhofar 329,7112,Valid,H6,475,Found,2000,18.91833,54.57833
Jiddat al Harasis 579,51924,Valid,L4-6,475.1,Found,2009,19.35422,56.75287
Ramlat al Wahibah 002,45873,Valid,H4/5,475.15,Found,2006,21.3703,58.40793
Miller Range 99318,16674,Valid,L6,475.4,Found,1999,-83.25,157
Yamato 790247,25596,Valid,L5,475.9,Found,1979,-71.5,35.66667
Ramlat as Sahmah 004,22380,Valid,H4,475.96,Found,2003,20.26405,56.46315
Thiel Mountains 82402,23914,Valid,LL6,476,Found,1982,-85.16324,-94.62127
Elephant Moraine 87551,8101,Valid,H5,476,Found,1987,-76.05056,156.44307
Hammadah al Hamra 063,11546,Valid,H6,476,Found,1994,28.77583,12.33683
Hammadah al Hamra 226,11709,Valid,H6,476,Found,1997,28.6595,12.41317
Dhofar 498,7259,Valid,H5,476,Found,2000,18.72333,54.865
Queen Alexandra Range 90222,19027,Valid,L6,476.8,Found,1990,-84.59487,162.82712
Dar al Gani 1005,5622,Valid,H4,477,Found,1999,27.19017,16.30833
Asuka 881381,4090,Valid,L3.3,477.91,Found,1988,-72,26
Seminole Draw (a),23493,Valid,L6,478,Found,1976,32.71667,-102.65
